state,dem_percentage,gop_percentage,winner,margin_percentage,2012_results_margin
AL,38.4,60.6,R,22.2,22.2
AK,40.8,54.8,R,14.0,14.0
AZ,44.6,53.7,R,9.1,9.1
AR,36.9,60.6,R,23.7,23.7
CA,60.2,37.1,D,23.1,-23.1
CO,51.5,46.1,D,5.4,-5.4
CT,58.1,40.7,D,17.3,-17.3
DE,58.6,40.0,D,18.6,-18.6
DC,90.9,7.3,D,83.6,-83.6
FL,50.0,49.1,D,0.9,-0.9
GA,45.5,53.3,R,7.8,7.8
HI,70.6,27.8,D,42.7,-42.7
ID,32.6,64.5,R,31.9,31.9
IL,57.6,40.7,D,16.9,-16.9
IN,43.9,54.1,R,10.2,10.2
IA,52.0,46.2,D,5.8,-5.8
KS,38.0,59.7,R,21.7,21.7
KY,37.8,60.5,R,22.7,22.7
LA,40.6,57.8,R,17.2,17.2
ME,56.3,41.0,D,15.3,-15.3
MD,62.0,35.9,D,26.1,-26.1
MA,60.7,37.5,D,23.1,-23.1
MI,54.2,44.7,D,9.5,-9.5
MN,52.7,45.0,D,7.7,-7.7
MS,43.8,55.3,R,11.5,11.5
MO,44.4,53.8,R,9.4,9.4
MT,41.7,55.4,R,13.7,13.7
NE,38.0,59.8,R,21.8,21.8
NV,52.4,45.7,D,6.7,-6.7
NH,52.0,46.4,D,5.6,-5.6
NJ,58.4,40.6,D,17.8,-17.8
NM,53.0,42.8,D,10.2,-10.2
NY,63.4,35.2,D,28.2,-28.2
NC,48.4,50.4,R,2.0,2.0
ND,38.7,58.3,R,19.6,19.6
OH,50.7,47.7,D,3.0,-3.0
OK,33.2,66.8,R,33.5,33.5
OR,54.2,42.2,D,12.1,-12.1
PA,52.0,46.6,D,5.4,-5.4
RI,62.7,35.2,D,27.5,-27.5
SC,44.1,54.6,R,10.5,10.5
SD,39.9,57.9,R,18.0,18.0
TN,39.1,59.5,R,20.4,20.4
TX,41.4,57.2,R,15.8,15.8
UT,24.8,72.8,R,48.0,48.0
VT,66.6,31.0,D,35.6,-35.6
VA,51.2,47.3,D,3.9,-3.9
WA,56.2,41.3,D,14.9,-14.9
WV,35.5,62.3,R,26.8,26.8
WI,52.8,45.9,D,6.9,-6.9
WY,27.8,68.6,R,40.8,40.8
